"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","OrderEx","Gender","ProlificID","difficulty","attentionCheck","attCheck2Choice","attCheck2Text","dominantHand","Age","comments","responses","test_part","user_agent","success","choice","x_cord","y_cord","time_cord","first_movement_time","trajectory","trial_num","Left_option","Right_option","key_press","response"
"1122.699999988079","stim/7.png,stim/12.png","","cta-radio","126","298111","0.0-13.27-0.27-1.27","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/12.png","784,784,800,808,832,857,881,901,916,926,940,945,956,959,963,968,971,972,972,973,973,974,974","692,677,597,572,516,450,410,376,346,332,316,310,296,291,287,280,278,277,276,276,275,274,274","1710161083042,1710161083386,1710161083406,1710161083423,1710161083440,1710161083456,1710161083473,1710161083490,1710161083506,1710161083524,1710161083540,1710161083556,1710161083574,1710161083590,1710161083607,1710161083623,1710161083640,1710161083656,1710161083673,1710161083706,1710161083723,1710161083739,1710161083956","298968.7000000477","shown","27","stim/7.png","stim/12.png","",""
"null","","","html-keyboard-response","127","298222","0.0-13.27-0.27-2.27","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"3966","How much conflict did you experience in making this decision?:","","html-slider-response","128","302695","0.0-13.27-0.27-3.27","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","27","","","","6257"
"2716","","0","html-button-response","129","305416","0.0-13.27-0.27-4.27","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1031.1000000238419","stim/11.png,stim/5.png","","cta-radio","130","306449","0.0-13.28-0.28-1.28","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/5.png","757,766,789,802,841,873,903,944,962,974,982,984,985,986,988,989,990,991,992","666,636,556,521,453,407,368,308,286,272,267,266,263,260,257,256,254,253,253","1710161091759,1710161091771,1710161091787,1710161091804,1710161091821,1710161091837,1710161091854,1710161091870,1710161091887,1710161091904,1710161091920,1710161091938,1710161091954,1710161091970,1710161091988,1710161092004,1710161092021,1710161092054,1710161092087","307686.2000000477","shown","28","stim/11.png","stim/5.png","",""
"null","","","html-keyboard-response","131","306561","0.0-13.28-0.28-2.28","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"3421","How much conflict did you experience in making this decision?:","","html-slider-response","132","310490","0.0-13.28-0.28-3.28","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","28","","","","3010"
"1385","","0","html-button-response","133","311880","0.0-13.28-0.28-4.28","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1248.199999988079","stim/9.png,stim/3.png","","cta-radio","134","313132","0.0-13.29-0.29-1.29","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/9.png","755,752,747,720,682,617,579,544,492,456,435,429,426,425,425,425,425,425","690,675,656,613,577,526,494,459,394,332,266,236,220,208,209,210,212,215","1710161098437,1710161098453,1710161098470,1710161098486,1710161098503,1710161098520,1710161098537,1710161098554,1710161098570,1710161098587,1710161098603,1710161098620,1710161098637,1710161098653,1710161098686,1710161098703,1710161098720,1710161098754","314362.5","shown","29","stim/9.png","stim/3.png","",""
"null","","","html-keyboard-response","135","313245","0.0-13.29-0.29-2.29","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"4276","How much conflict did you experience in making this decision?:","","html-slider-response","136","318029","0.0-13.29-0.29-3.29","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","29","","","","5347"
"1975","","0","html-button-response","137","320011","0.0-13.29-0.29-4.29","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1012.5999999642372","stim/12.png,stim/5.png","","cta-radio","138","321026","0.0-13.30-0.30-1.30","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/12.png","773,740,716,664,627,588,553,536,515,508,505,503,501","676,604,550,470,424,367,307,279,245,233,228,224,224","1710161106394,1710161106417,1710161106434,1710161106451,1710161106468,1710161106484,1710161106501,1710161106518,1710161106534,1710161106551,1710161106568,1710161106584,1710161106601","322319.5","shown","30","stim/12.png","stim/5.png","",""
"null","","","html-keyboard-response","139","321153","0.0-13.30-0.30-2.30","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"2611","How much conflict did you experience in making this decision?:","","html-slider-response","140","324297","0.0-13.30-0.30-3.30","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","30","","","","3327"
"2431","","0","html-button-response","141","326734","0.0-13.30-0.30-4.30","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1073.199999988079","stim/10.png,stim/11.png","","cta-radio","142","327809","0.0-13.31-0.31-1.31","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/10.png","789,779,747,681,631,568,540,520,503,497,496,496","688,671,632,565,497,386,321,276,244,236,236,236","1710161112816,1710161113246,1710161113266,1710161113282,1710161113299,1710161113315,1710161113332,1710161113349,1710161113365,1710161113382,1710161113399,1710161113649","328740.8000000119","shown","31","stim/10.png","stim/11.png","",""
"null","","","html-keyboard-response","143","327920","0.0-13.31-0.31-2.31","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"3788","How much conflict did you experience in making this decision?:","","html-slider-response","144","332222","0.0-13.31-0.31-3.31","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","31","","","","4356"
"3831","","0","html-button-response","145","336059","0.0-13.31-0.31-4.31","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1456","stim/4.png,stim/5.png","","cta-radio","146","337517","0.0-13.32-0.32-1.32","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/5.png","760,776,799,836,884,913,964,989,1010,1018,1020,1022,1022,1020,1017,1016,1017,1020,1021,1021,1022,1022","659,561,473,372,283,237,188,165,148,142,139,136,142,160,176,199,214,230,236,238,240,242","1710161122540,1710161122562,1710161122579,1710161122596,1710161122612,1710161122630,1710161122646,1710161122662,1710161122679,1710161122696,1710161122713,1710161122729,1710161123012,1710161123029,1710161123046,1710161123062,1710161123080,1710161123095,1710161123113,1710161123129,1710161123146,1710161123179","338465.60000002384","shown","32","stim/4.png","stim/5.png","",""
"null","","","html-keyboard-response","147","337629","0.0-13.32-0.32-2.32","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"2748","How much conflict did you experience in making this decision?:","","html-slider-response","148","340895","0.0-13.32-0.32-3.32","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","32","","","","3485"
"1847","","0","html-button-response","149","342749","0.0-13.32-0.32-4.32","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1228.1000000238419","stim/9.png,stim/8.png","","cta-radio","150","343979","0.0-13.33-0.33-1.33","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/9.png","764,745,725,710,688,679,668,661,660,639,609,575,527,511,506,504","665,599,515,475,428,400,368,331,323,312,294,275,245,239,239,239","1710161129142,1710161129161,1710161129177,1710161129194,1710161129210,1710161129227,1710161129244,1710161129260,1710161129277,1710161129502,1710161129510,1710161129527,1710161129544,1710161129560,1710161129577,1710161129594","345067.2000000477","shown","33","stim/9.png","stim/8.png","",""
"null","","","html-keyboard-response","151","344091","0.0-13.33-0.33-2.33","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"3074","How much conflict did you experience in making this decision?:","","html-slider-response","152","347668","0.0-13.33-0.33-3.33","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","33","","","","2535"
"1245","","0","html-button-response","153","348920","0.0-13.33-0.33-4.33","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1014.6999999880791","stim/11.png,stim/3.png","","cta-radio","154","349936","0.0-13.34-0.34-1.34","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/11.png","775,752,726,672,614,557,500,476,460,450,449,449","672,639,609,539,469,404,333,309,297,292,291,290","1710161135367,1710161135375,1710161135392,1710161135409,1710161135425,1710161135442,1710161135459,1710161135475,1710161135492,1710161135508,1710161135525,1710161135542","351292.40000003576","shown","34","stim/11.png","stim/3.png","",""
"null","","","html-keyboard-response","155","350054","0.0-13.34-0.34-2.34","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"3154","How much conflict did you experience in making this decision?:","","html-slider-response","156","353721","0.0-13.34-0.34-3.34","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","34","","","","2475"
"2097","","0","html-button-response","157","355825","0.0-13.34-0.34-4.34","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1032.5","stim/5.png,stim/7.png","","cta-radio","158","356859","0.0-13.35-0.35-1.35","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/5.png","748,718,686,646,614,573,559,549,541,540,540","656,604,549,456,388,314,295,284,276,275,274","1710161142274,1710161142289,1710161142307,1710161142323,1710161142340,1710161142356,1710161142373,1710161142390,1710161142406,1710161142423,1710161142440","358199.40000003576","shown","35","stim/5.png","stim/7.png","",""
"null","","","html-keyboard-response","159","356973","0.0-13.35-0.35-2.35","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"2693","How much conflict did you experience in making this decision?:","","html-slider-response","160","360167","0.0-13.35-0.35-3.35","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","35","","","","574"
"2298","","0","html-button-response","161","362472","0.0-13.35-0.35-4.35","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"1049.6000000238419","stim/11.png,stim/9.png","","cta-radio","162","363524","0.0-13.36-0.36-1.36","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/9.png","790,796,812,860,900,952,972,1000,1011,1014,1014","689,663,615,477,399,303,264,229,218,213,212","1710161148554,1710161148950,1710161148971,1710161148988,1710161149005,1710161149021,1710161149038,1710161149055,1710161149071,1710161149088,1710161149104","364479.7000000477","shown","36","stim/11.png","stim/9.png","",""
"null","","","html-keyboard-response","163","363636","0.0-13.36-0.36-2.36","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"2608","How much conflict did you experience in making this decision?:","","html-slider-response","164","366749","0.0-13.36-0.36-3.36","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","36","","","","3248"
"1187","","0","html-button-response","165","367944","0.0-13.36-0.36-4.36","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
"919.7000000476837","stim/1.png,stim/2.png","","cta-radio","166","368866","0.0-13.37-0.37-1.37","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","trial","","","stim/2.png","758,765,782,800,836,864,896,934,947,958,961,963","650,629,586,551,481,432,371,312,299,287,280,280","1710161154256,1710161154269,1710161154286,1710161154303,1710161154319,1710161154336,1710161154353,1710161154369,1710161154386,1710161154403,1710161154419,1710161154436","370180.90000003576","shown","37","stim/1.png","stim/2.png","",""
"null","","","html-keyboard-response","167","368978","0.0-13.37-0.37-2.37","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","fixationMouse","","","","","","","","","","","","null",""
"4882","How much conflict did you experience in making this decision?:","","html-slider-response","168","374367","0.0-13.37-0.37-3.37","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","Slider","","","","","","","","","37","","","","1406"
"1259","","0","html-button-response","169","375632","0.0-13.37-0.37-4.37","Second_First","Female","5ec3dd98ce3cd40668c0115f","6","To decide between options","","yes","Right handed","24","","","","","","","","","","","","","","","",""
