,x_cord,y_cord,Condition
68,"637,639,650,664,676,687,698,710,723,736,749,761,766,772,782,795,807,819,826,832,836,840,848,859,870,874,877,883,889,892,895,896,897,898,901,904,908,908","571,566,552,534,517,502,489,472,455,438,423,406,400,394,381,369,358,348,344,340,338,334,330,324,318,314,312,307,302,298,295,294,294,293,291,289,287,286",1
69,,,
70,,,
71,,,
72,"646,646,646,646,645,642,636,630,619,603,581,556,538,521,502,488,476,464,455,450,448,443,438,436,433,430,428,426,422,420,417,415,414,419,437,502,602,710,860,932,942,937,931,928,926,924,924,923,920,918,915,912,911,909,908","584,583,579,572,560,547,528,515,498,482,464,450,436,424,406,393,381,370,362,356,353,350,345,343,340,338,335,332,329,326,324,322,321,320,319,314,298,285,270,262,288,291,295,296,297,297,298,298,298,298,298,299,299,300,300",2
73,,,
74,,,
75,,,
76,"621,621,621,620,620,620,620,620,620,620,620,620,620,620,620,620,620,618,614,610,605,601,593,583,572,560,548,534,510,492,474,461,449,440,435,432,430,428,426,425,423,422,419,416,414,410,406,404,401,398,397,396,395,393,392,391,390,388,386,384,382","569,568,562,559,554,551,550,548,544,541,540,536,534,531,528,522,517,508,493,482,470,458,446,434,422,410,399,390,376,363,351,341,333,327,324,321,318,316,314,312,308,307,304,302,300,296,293,292,290,290,290,290,290,290,290,290,290,290,290,290,290",1
77,,,
78,,,
79,,,
80,"623,625,627,628,628,628,627,627,626,626,626,626,627,628,628,628,628,628,628,628,628,627,624,621,619,616,614,610,604,594,583,572,567,564,561,558,555,542,530,516,496,480,468,457,440,432,424,418,414,411,408,404,400,398,395,394,391,389,386,384,382,380,380","556,550,538,527,524,521,518,514,510,506,502,497,494,490,488,485,482,480,478,475,471,468,466,462,460,457,454,451,445,442,438,434,431,428,425,422,419,414,410,405,399,390,383,376,366,359,353,348,342,338,331,325,320,316,312,310,307,304,301,298,296,293,292",1
81,,,
82,,,
83,,,
84,"634,633,632,628,624,620,612,602,574,554,531,512,496,484,472,460,448,429,418,409,404,400,398,396,394,390,388,387,387,387,387,387,387,386,386,385,383,382,382,381,380,380","579,579,575,562,551,537,524,512,488,475,462,450,442,435,427,419,409,390,379,370,362,354,351,349,346,340,335,332,329,326,323,320,318,316,315,314,311,309,308,306,303,302",2
85,,,
86,,,
87,,,
88,"633,632,632,632,630,630,626,625,624,624,624,624,624,626,629,632,634,637,640,642,644,646,647,647,648,650,652,654,658,662,669,680,693,698,702,706,710,714,716,720,720,721,722,722,724,726,730,734,738,747,759,771,783,795,804,821,834,850,866,880,892,898,901,902,903,904,905,906,906,906,906,906","571,570,568,561,553,549,544,541,538,536,533,530,526,523,519,516,514,510,508,504,500,496,494,490,488,484,481,478,474,467,459,446,430,422,417,411,405,399,398,393,392,390,389,388,386,384,381,376,373,368,362,356,348,342,337,331,327,323,319,315,311,308,306,304,302,301,298,296,294,292,291,290",1
89,,,
90,,,
91,,,
